Day,Start time,End Time,Ant 1,Ant 2,Pol,UV File,Line
7,,,4,,,,
7,,,6,,xx,,
8,,,4,,xx,,
9,,,4,,xx,,
10,,,4,,xx,,
13,2011jan22:16:10:00.0,2011jan22:23:00:00.0,2,,,,
18,2011jan28:01:08:00.0,2011jan28:02:44:00.0,3,,,,
21,2011sep10:01:41:00.0,2011sep10:02:00:00.0,,,,,
22,2011sep11:23:53:00.0,2011sep12:00:13:00.0,,,,,
22,2011sep12:03:31:00.0,2011sep12:03:53:00.0,,,,,
23,2011sep13:10:00:00.0,2011sep13:12:15:00.0,1,,xx,,
24,2011sep14:08:57:00.0,2011sep14:10:43:00.0,1,,xx,,
21,,,,,,1934-638.1420,"channel,110,2430,1,1"
21,,,,,,1934-638.1420,"channel,10,1020,1,1"
11,,,2,,,,
11,,,1,6,,1757,
11,,,,,,1757,"channel,1,1134,1,1"
21,,,5,,,1757,
