day,date,gal_l,gal_b,Source,RA,Dec,Epoch,Vp,Integration time,Phase Calibrator,Sp
1,20/05/2010,345.505,0.348,345.505+0.348,,,,-17.8,,1740-517,
1,20/05/2010,345.807,-0.044,345.807-0.044,,,,-2,,1740-517,
1,20/05/2010,348.892,-0.18,348.892-0.180,,,,1.5,,1740-517,
1,20/05/2010,349.884,0.231,349.884+0.231,,,,16.2,,1740-517,
1,20/05/2010,0.212,-0.001,000.212-0.001,,,,49.3,,1830-210,
1,20/05/2010,2.143,0.009,002.143+0.009,,,,62.7,,1830-210,
1,20/05/2010,8.832,-0.028,008.832-0.028,,,,-3.8,,1830-210,
1,20/05/2010,12.025,-0.025,012.025-0.025,,,,108.3,,1830-210,
1,20/05/2010,14.521,0.155,014.521+0.155,,,,4.1,,1830-210,
2,21/05/2010,346.036,0.048,346.036+0.048,,,,-6.4,,1740-517,
2,21/05/2010,347.628,0.149,347.628+0.149,,,,-96.5,,1740-517,
2,21/05/2010,346.517,0.117,346.517+0.117,,,,-1.7,,1740-517,
2,21/05/2010,351.581,-0.353,351.581-0.353,,,,-94.2,,1740-517,
2,21/05/2010,352.584,-0.185,352.584-0.185,,,,-85.6,,1740-517,
2,21/05/2010,359.436,-0.104,359.436-0.104,,,,-53.6,,1740-517,
2,21/05/2010,3.442,-0.348,003.442-0.348,,,,-35,,1830-210,
2,21/05/2010,5.618,-0.082,005.618-0.082,,,,-27,,1830-210,
2,21/05/2010,6.189,-0.358,006.189-0.358,,,,-30.2,,1830-210,
2,21/05/2010,10.629,-0.333,010.629-0.333,,,,-0.4,,1830-210,
3,22/05/2010,345.198,-0.03,345.198-0.030,,,,-0.6,,1740-517,
3,22/05/2010,346.481,0.132,346.481+0.132,,,,-5.6,,1740-517,
3,22/05/2010,352.604,-0.225,352.604-0.225,,,,-81.8,,1740-517,
3,22/05/2010,353.363,-0.166,353.363-0.166,,,,-79,,1740-517,
3,22/05/2010,9.619,0.193,009.619+0.193,,,,5.4,,1830-210,
3,22/05/2010,13.696,-0.156,013.696-0.156,,,,99.4,,1830-210,
3,22/05/2010,14.101,0.087,014.101+0.087,,,,15.4,,1830-210,
